Web Search interest: bac
Worldwide 2004 - present

Interest over time
Week,bac
2004-01-04 - 2004-01-10,6
2004-01-11 - 2004-01-17,6
2004-01-18 - 2004-01-24,7
2004-01-25 - 2004-01-31,6
2004-02-01 - 2004-02-07,7
2004-02-08 - 2004-02-14,6
2004-02-15 - 2004-02-21,5
2004-02-22 - 2004-02-28,6
2004-02-29 - 2004-03-06,7
2004-03-07 - 2004-03-13,7
2004-03-14 - 2004-03-20,6
2004-03-21 - 2004-03-27,7
2004-03-28 - 2004-04-03,8
2004-04-04 - 2004-04-10,7
2004-04-11 - 2004-04-17,7
2004-04-18 - 2004-04-24,7
2004-04-25 - 2004-05-01,8
2004-05-02 - 2004-05-08,9
2004-05-09 - 2004-05-15,9
2004-05-16 - 2004-05-22,9
2004-05-23 - 2004-05-29,11
2004-05-30 - 2004-06-05,14
2004-06-06 - 2004-06-12,38
2004-06-13 - 2004-06-19,30
2004-06-20 - 2004-06-26,15
2004-06-27 - 2004-07-03,60
2004-07-04 - 2004-07-10,37
2004-07-11 - 2004-07-17,14
2004-07-18 - 2004-07-24,11
2004-07-25 - 2004-07-31,4
2004-08-01 - 2004-08-07,3
2004-08-08 - 2004-08-14,4
2004-08-15 - 2004-08-21,4
2004-08-22 - 2004-08-28,4
2004-08-29 - 2004-09-04,6
2004-09-05 - 2004-09-11,6
2004-09-12 - 2004-09-18,6
2004-09-19 - 2004-09-25,6
2004-09-26 - 2004-10-02,6
2004-10-03 - 2004-10-09,6
2004-10-10 - 2004-10-16,6
2004-10-17 - 2004-10-23,6
2004-10-24 - 2004-10-30,4
2004-10-31 - 2004-11-06,5
2004-11-07 - 2004-11-13,5
2004-11-14 - 2004-11-20,6
2004-11-21 - 2004-11-27,6
2004-11-28 - 2004-12-04,6
2004-12-05 - 2004-12-11,6
2004-12-12 - 2004-12-18,6
2004-12-19 - 2004-12-25,4
2004-12-26 - 2005-01-01,4
2005-01-02 - 2005-01-08,7
2005-01-09 - 2005-01-15,7
2005-01-16 - 2005-01-22,7
2005-01-23 - 2005-01-29,7
2005-01-30 - 2005-02-05,7
2005-02-06 - 2005-02-12,7
2005-02-13 - 2005-02-19,6
2005-02-20 - 2005-02-26,6
2005-02-27 - 2005-03-05,7
2005-03-06 - 2005-03-12,7
2005-03-13 - 2005-03-19,7
2005-03-20 - 2005-03-26,8
2005-03-27 - 2005-04-02,7
2005-04-03 - 2005-04-09,8
2005-04-10 - 2005-04-16,7
2005-04-17 - 2005-04-23,7
2005-04-24 - 2005-04-30,7
2005-05-01 - 2005-05-07,8
2005-05-08 - 2005-05-14,10
2005-05-15 - 2005-05-21,10
2005-05-22 - 2005-05-28,12
2005-05-29 - 2005-06-04,15
2005-06-05 - 2005-06-11,36
2005-06-12 - 2005-06-18,30
2005-06-19 - 2005-06-25,21
2005-06-26 - 2005-07-02,25
2005-07-03 - 2005-07-09,100
2005-07-10 - 2005-07-16,19
2005-07-17 - 2005-07-23,6
2005-07-24 - 2005-07-30,5
2005-07-31 - 2005-08-06,4
2005-08-07 - 2005-08-13,4
