Web Search interest: ip
Worldwide 2004 - present

Interest over time
Week,ip
2004-01-04 - 2004-01-10,92
2004-01-11 - 2004-01-17,93
2004-01-18 - 2004-01-24,93
2004-01-25 - 2004-01-31,94
2004-02-01 - 2004-02-07,95
2004-02-08 - 2004-02-14,98
2004-02-15 - 2004-02-21,100
2004-02-22 - 2004-02-28,98
2004-02-29 - 2004-03-06,93
2004-03-07 - 2004-03-13,93
2004-03-14 - 2004-03-20,94
2004-03-21 - 2004-03-27,93
2004-03-28 - 2004-04-03,92
2004-04-04 - 2004-04-10,96
2004-04-11 - 2004-04-17,96
2004-04-18 - 2004-04-24,92
2004-04-25 - 2004-05-01,92
2004-05-02 - 2004-05-08,93
2004-05-09 - 2004-05-15,92
2004-05-16 - 2004-05-22,92
2004-05-23 - 2004-05-29,91
2004-05-30 - 2004-06-05,92
2004-06-06 - 2004-06-12,95
2004-06-13 - 2004-06-19,92
2004-06-20 - 2004-06-26,93
2004-06-27 - 2004-07-03,91
2004-07-04 - 2004-07-10,93
2004-07-11 - 2004-07-17,94
2004-07-18 - 2004-07-24,94
2004-07-25 - 2004-07-31,96
2004-08-01 - 2004-08-07,95
2004-08-08 - 2004-08-14,92
2004-08-15 - 2004-08-21,91
2004-08-22 - 2004-08-28,92
2004-08-29 - 2004-09-04,92
2004-09-05 - 2004-09-11,92
2004-09-12 - 2004-09-18,91
2004-09-19 - 2004-09-25,91
2004-09-26 - 2004-10-02,89
2004-10-03 - 2004-10-09,91
2004-10-10 - 2004-10-16,92
2004-10-17 - 2004-10-23,92
2004-10-24 - 2004-10-30,89
2004-10-31 - 2004-11-06,87
2004-11-07 - 2004-11-13,90
2004-11-14 - 2004-11-20,87
2004-11-21 - 2004-11-27,87
2004-11-28 - 2004-12-04,87
2004-12-05 - 2004-12-11,86
2004-12-12 - 2004-12-18,89
2004-12-19 - 2004-12-25,87
2004-12-26 - 2005-01-01,86
2005-01-02 - 2005-01-08,86
2005-01-09 - 2005-01-15,87
2005-01-16 - 2005-01-22,89
2005-01-23 - 2005-01-29,89
2005-01-30 - 2005-02-05,87
2005-02-06 - 2005-02-12,83
2005-02-13 - 2005-02-19,85
2005-02-20 - 2005-02-26,87
2005-02-27 - 2005-03-05,84
2005-03-06 - 2005-03-12,85
2005-03-13 - 2005-03-19,86
2005-03-20 - 2005-03-26,84
2005-03-27 - 2005-04-02,82
2005-04-03 - 2005-04-09,82
2005-04-10 - 2005-04-16,83
2005-04-17 - 2005-04-23,82
2005-04-24 - 2005-04-30,81
2005-05-01 - 2005-05-07,79
2005-05-08 - 2005-05-14,81
2005-05-15 - 2005-05-21,82
2005-05-22 - 2005-05-28,81
2005-05-29 - 2005-06-04,82
2005-06-05 - 2005-06-11,83
2005-06-12 - 2005-06-18,81
2005-06-19 - 2005-06-25,82
2005-06-26 - 2005-07-02,79
2005-07-03 - 2005-07-09,79
2005-07-10 - 2005-07-16,81
2005-07-17 - 2005-07-23,81
2005-07-24 - 2005-07-30,79
2005-07-31 - 2005-08-06,81
2005-08-07 - 2005-08-13,81
2005-08-14 - 2005-08-20,81
2005-08-21 - 2005-08-27,81
2005-08-28 - 2005-09-03,80
2005-09-04 - 2005-09-10,79
2005-09-11 - 2005-09-17,79
2005-09-18 - 2005-09-24,79
2005-09-25 - 2005-10-01,78
2005-10-02 - 2005-10-08,78
2005-10-09 - 2005-10-15,80
2005-10-16 - 2005-10-22,81
2005-10-23 - 2005-10-29,78
2005-10-30 - 2005-11-05,78
2005-11-06 - 2005-11-12,77
2005-11-13 - 2005-11-19,77
2005-11-20 - 2005-11-26,80
2005-11-27 - 2005-12-03,78
2005-12-04 - 2005-12-10,75
2005-12-11 - 2005-12-17,75
2005-12-18 - 2005-12-24,77
2005-12-25 - 2005-12-31,78
2006-01-01 - 2006-01-07,78
2006-01-08 - 2006-01-14,77
2006-01-15 - 2006-01-21,80
2006-01-22 - 2006-01-28,78
2006-01-29 - 2006-02-04,77
2006-02-05 - 2006-02-11,77
2006-02-12 - 2006-02-18,77
2006-02-19 - 2006-02-25,79
2006-02-26 - 2006-03-04,78
2006-03-05 - 2006-03-11,75
2006-03-12 - 2006-03-18,76
2006-03-19 - 2006-03-25,76
2006-03-26 - 2006-04-01,76
2006-04-02 - 2006-04-08,74
2006-04-09 - 2006-04-15,74
2006-04-16 - 2006-04-22,74
2006-04-23 - 2006-04-29,72
2006-04-30 - 2006-05-06,71
2006-05-07 - 2006-05-13,72
2006-05-14 - 2006-05-20,73
2006-05-21 - 2006-05-27,73
2006-05-28 - 2006-06-03,71
2006-06-04 - 2006-06-10,73
2006-06-11 - 2006-06-17,70
2006-06-18 - 2006-06-24,71
2006-06-25 - 2006-07-01,71
2006-07-02 - 2006-07-08,71
2006-07-09 - 2006-07-15,71
2006-07-16 - 2006-07-22,69
2006-07-23 - 2006-07-29,71
2006-07-30 - 2006-08-05,70
2006-08-06 - 2006-08-12,72
2006-08-13 - 2006-08-19,72
2006-08-20 - 2006-08-26,72
2006-08-27 - 2006-09-02,72
2006-09-03 - 2006-09-09,72
2006-09-10 - 2006-09-16,72
2006-09-17 - 2006-09-23,70
2006-09-24 - 2006-09-30,71
2006-10-01 - 2006-10-07,72
2006-10-08 - 2006-10-14,71
2006-10-15 - 2006-10-21,71
2006-10-22 - 2006-10-28,71
2006-10-29 - 2006-11-04,72
2006-11-05 - 2006-11-11,71
2006-11-12 - 2006-11-18,72
2006-11-19 - 2006-11-25,71
2006-11-26 - 2006-12-02,71
2006-12-03 - 2006-12-09,70
2006-12-10 - 2006-12-16,70
2006-12-17 - 2006-12-23,71
2006-12-24 - 2006-12-30,72
2006-12-31 - 2007-01-06,71
2007-01-07 - 2007-01-13,72
2007-01-14 - 2007-01-20,72
2007-01-21 - 2007-01-27,70
2007-01-28 - 2007-02-03,70
2007-02-04 - 2007-02-10,71
2007-02-11 - 2007-02-17,69
2007-02-18 - 2007-02-24,70
2007-02-25 - 2007-03-03,69
2007-03-04 - 2007-03-10,69
2007-03-11 - 2007-03-17,71
2007-03-18 - 2007-03-24,70
2007-03-25 - 2007-03-31,69
2007-04-01 - 2007-04-07,71
2007-04-08 - 2007-04-14,70
2007-04-15 - 2007-04-21,68
2007-04-22 - 2007-04-28,66
2007-04-29 - 2007-05-05,66
2007-05-06 - 2007-05-12,71
2007-05-13 - 2007-05-19,70
2007-05-20 - 2007-05-26,70
2007-05-27 - 2007-06-02,67
2007-06-03 - 2007-06-09,69
2007-06-10 - 2007-06-16,69
2007-06-17 - 2007-06-23,70
2007-06-24 - 2007-06-30,69
2007-07-01 - 2007-07-07,69
2007-07-08 - 2007-07-14,71
2007-07-15 - 2007-07-21,70
2007-07-22 - 2007-07-28,70
2007-07-29 - 2007-08-04,69
2007-08-05 - 2007-08-11,69
2007-08-12 - 2007-08-18,69
2007-08-19 - 2007-08-25,71
2007-08-26 - 2007-09-01,70
2007-09-02 - 2007-09-08,69
2007-09-09 - 2007-09-15,70
2007-09-16 - 2007-09-22,70
2007-09-23 - 2007-09-29,70
2007-09-30 - 2007-10-06,69
2007-10-07 - 2007-10-13,72
2007-10-14 - 2007-10-20,70
2007-10-21 - 2007-10-27,70
2007-10-28 - 2007-11-03,71
2007-11-04 - 2007-11-10,69
2007-11-11 - 2007-11-17,68
2007-11-18 - 2007-11-24,77
2007-11-25 - 2007-12-01,79
2007-12-02 - 2007-12-08,77
2007-12-09 - 2007-12-15,70
2007-12-16 - 2007-12-22,69
2007-12-23 - 2007-12-29,71
2007-12-30 - 2008-01-05,69
2008-01-06 - 2008-01-12,71
2008-01-13 - 2008-01-19,68
2008-01-20 - 2008-01-26,69
2008-01-27 - 2008-02-02,70
2008-02-03 - 2008-02-09,66
2008-02-10 - 2008-02-16,68
2008-02-17 - 2008-02-23,68
2008-02-24 - 2008-03-01,69
2008-03-02 - 2008-03-08,68
2008-03-09 - 2008-03-15,70
2008-03-16 - 2008-03-22,69
2008-03-23 - 2008-03-29,69
2008-03-30 - 2008-04-05,68
2008-04-06 - 2008-04-12,70
2008-04-13 - 2008-04-19,68
2008-04-20 - 2008-04-26,67
2008-04-27 - 2008-05-03,66
2008-05-04 - 2008-05-10,67
2008-05-11 - 2008-05-17,67
2008-05-18 - 2008-05-24,67
2008-05-25 - 2008-05-31,66
2008-06-01 - 2008-06-07,68
2008-06-08 - 2008-06-14,68
2008-06-15 - 2008-06-21,68
2008-06-22 - 2008-06-28,68
2008-06-29 - 2008-07-05,68
2008-07-06 - 2008-07-12,69
2008-07-13 - 2008-07-19,68
2008-07-20 - 2008-07-26,68
2008-07-27 - 2008-08-02,68
2008-08-03 - 2008-08-09,70
2008-08-10 - 2008-08-16,69
2008-08-17 - 2008-08-23,69
2008-08-24 - 2008-08-30,70
2008-08-31 - 2008-09-06,68
2008-09-07 - 2008-09-13,67
2008-09-14 - 2008-09-20,68
2008-09-21 - 2008-09-27,68
2008-09-28 - 2008-10-04,67
2008-10-05 - 2008-10-11,67
2008-10-12 - 2008-10-18,70
2008-10-19 - 2008-10-25,68
2008-10-26 - 2008-11-01,65
2008-11-02 - 2008-11-08,65
2008-11-09 - 2008-11-15,69
2008-11-16 - 2008-11-22,67
2008-11-23 - 2008-11-29,68
2008-11-30 - 2008-12-06,68
2008-12-07 - 2008-12-13,68
2008-12-14 - 2008-12-20,67
2008-12-21 - 2008-12-27,71
2008-12-28 - 2009-01-03,68
2009-01-04 - 2009-01-10,69
2009-01-11 - 2009-01-17,70
2009-01-18 - 2009-01-24,69
2009-01-25 - 2009-01-31,68
2009-02-01 - 2009-02-07,67
2009-02-08 - 2009-02-14,66
2009-02-15 - 2009-02-21,70
2009-02-22 - 2009-02-28,67
2009-03-01 - 2009-03-07,66
2009-03-08 - 2009-03-14,67
2009-03-15 - 2009-03-21,68
2009-03-22 - 2009-03-28,65
2009-03-29 - 2009-04-04,68
2009-04-05 - 2009-04-11,68
2009-04-12 - 2009-04-18,67
2009-04-19 - 2009-04-25,66
2009-04-26 - 2009-05-02,63
2009-05-03 - 2009-05-09,62
2009-05-10 - 2009-05-16,65
2009-05-17 - 2009-05-23,65
2009-05-24 - 2009-05-30,64
2009-05-31 - 2009-06-06,64
2009-06-07 - 2009-06-13,63
2009-06-14 - 2009-06-20,65
2009-06-21 - 2009-06-27,64
2009-06-28 - 2009-07-04,64
2009-07-05 - 2009-07-11,64
2009-07-12 - 2009-07-18,64
2009-07-19 - 2009-07-25,65
2009-07-26 - 2009-08-01,64
2009-08-02 - 2009-08-08,65
2009-08-09 - 2009-08-15,63
2009-08-16 - 2009-08-22,64
2009-08-23 - 2009-08-29,64
2009-08-30 - 2009-09-05,63
2009-09-06 - 2009-09-12,63
2009-09-13 - 2009-09-19,63
2009-09-20 - 2009-09-26,62
2009-09-27 - 2009-10-03,61
2009-10-04 - 2009-10-10,61
2009-10-11 - 2009-10-17,62
2009-10-18 - 2009-10-24,62
2009-10-25 - 2009-10-31,62
2009-11-01 - 2009-11-07,61
2009-11-08 - 2009-11-14,63
2009-11-15 - 2009-11-21,63
2009-11-22 - 2009-11-28,62
2009-11-29 - 2009-12-05,62
