Web Search interest: hd
Worldwide 2004 - present

Interest over time
Week,hd
2004-01-04 - 2004-01-10,5
2004-01-11 - 2004-01-17,5
2004-01-18 - 2004-01-24,5
2004-01-25 - 2004-01-31,5
2004-02-01 - 2004-02-07,5
2004-02-08 - 2004-02-14,5
2004-02-15 - 2004-02-21,5
2004-02-22 - 2004-02-28,4
2004-02-29 - 2004-03-06,5
2004-03-07 - 2004-03-13,5
2004-03-14 - 2004-03-20,5
2004-03-21 - 2004-03-27,5
2004-03-28 - 2004-04-03,4
2004-04-04 - 2004-04-10,5
2004-04-11 - 2004-04-17,5
2004-04-18 - 2004-04-24,5
2004-04-25 - 2004-05-01,5
2004-05-02 - 2004-05-08,5
2004-05-09 - 2004-05-15,5
2004-05-16 - 2004-05-22,5
2004-05-23 - 2004-05-29,5
2004-05-30 - 2004-06-05,5
2004-06-06 - 2004-06-12,5
2004-06-13 - 2004-06-19,5
2004-06-20 - 2004-06-26,5
2004-06-27 - 2004-07-03,6
2004-07-04 - 2004-07-10,5
2004-07-11 - 2004-07-17,5
2004-07-18 - 2004-07-24,6
2004-07-25 - 2004-07-31,6
2004-08-01 - 2004-08-07,6
2004-08-08 - 2004-08-14,6
2004-08-15 - 2004-08-21,6
2004-08-22 - 2004-08-28,6
2004-08-29 - 2004-09-04,6
2004-09-05 - 2004-09-11,6
2004-09-12 - 2004-09-18,6
2004-09-19 - 2004-09-25,6
2004-09-26 - 2004-10-02,6
2004-10-03 - 2004-10-09,6
2004-10-10 - 2004-10-16,6
2004-10-17 - 2004-10-23,6
2004-10-24 - 2004-10-30,6
2004-10-31 - 2004-11-06,6
2004-11-07 - 2004-11-13,6
2004-11-14 - 2004-11-20,6
2004-11-21 - 2004-11-27,6
2004-11-28 - 2004-12-04,7
2004-12-05 - 2004-12-11,7
2004-12-12 - 2004-12-18,7
2004-12-19 - 2004-12-25,7
2004-12-26 - 2005-01-01,8
2005-01-02 - 2005-01-08,7
2005-01-09 - 2005-01-15,7
2005-01-16 - 2005-01-22,7
2005-01-23 - 2005-01-29,6
2005-01-30 - 2005-02-05,7
2005-02-06 - 2005-02-12,7
2005-02-13 - 2005-02-19,6
2005-02-20 - 2005-02-26,6
