Web Search interest: exc
Worldwide 2004 - present

Interest over time
Week,exc
2004-01-04 - 2004-01-10,31
2004-01-11 - 2004-01-17,30
2004-01-18 - 2004-01-24,36
2004-01-25 - 2004-01-31,46
2004-02-01 - 2004-02-07,36
2004-02-08 - 2004-02-14,36
2004-02-15 - 2004-02-21,42
2004-02-22 - 2004-02-28,45
2004-02-29 - 2004-03-06,43
2004-03-07 - 2004-03-13,43
2004-03-14 - 2004-03-20,40
2004-03-21 - 2004-03-27,55
2004-03-28 - 2004-04-03,38
2004-04-04 - 2004-04-10,57
2004-04-11 - 2004-04-17,35
2004-04-18 - 2004-04-24,48
2004-04-25 - 2004-05-01,45
2004-05-02 - 2004-05-08,37
2004-05-09 - 2004-05-15,44
2004-05-16 - 2004-05-22,50
2004-05-23 - 2004-05-29,45
2004-05-30 - 2004-06-05,51
2004-06-06 - 2004-06-12,39
2004-06-13 - 2004-06-19,46
2004-06-20 - 2004-06-26,38
2004-06-27 - 2004-07-03,41
2004-07-04 - 2004-07-10,42
2004-07-11 - 2004-07-17,47
2004-07-18 - 2004-07-24,49
2004-07-25 - 2004-07-31,49
2004-08-01 - 2004-08-07,51
2004-08-08 - 2004-08-14,47
2004-08-15 - 2004-08-21,52
2004-08-22 - 2004-08-28,49
2004-08-29 - 2004-09-04,57
2004-09-05 - 2004-09-11,47
2004-09-12 - 2004-09-18,43
2004-09-19 - 2004-09-25,52
2004-09-26 - 2004-10-02,48
2004-10-03 - 2004-10-09,47
2004-10-10 - 2004-10-16,53
2004-10-17 - 2004-10-23,41
2004-10-24 - 2004-10-30,52
2004-10-31 - 2004-11-06,43
2004-11-07 - 2004-11-13,46
2004-11-14 - 2004-11-20,47
2004-11-21 - 2004-11-27,48
2004-11-28 - 2004-12-04,49
2004-12-05 - 2004-12-11,35
2004-12-12 - 2004-12-18,46
2004-12-19 - 2004-12-25,53
2004-12-26 - 2005-01-01,46
2005-01-02 - 2005-01-08,40
2005-01-09 - 2005-01-15,47
2005-01-16 - 2005-01-22,38
2005-01-23 - 2005-01-29,47
2005-01-30 - 2005-02-05,47
2005-02-06 - 2005-02-12,42
2005-02-13 - 2005-02-19,47
2005-02-20 - 2005-02-26,45
2005-02-27 - 2005-03-05,48
2005-03-06 - 2005-03-12,57
2005-03-13 - 2005-03-19,43
2005-03-20 - 2005-03-26,44
2005-03-27 - 2005-04-02,51
2005-04-03 - 2005-04-09,56
2005-04-10 - 2005-04-16,53
2005-04-17 - 2005-04-23,56
2005-04-24 - 2005-04-30,55
2005-05-01 - 2005-05-07,51
2005-05-08 - 2005-05-14,54
2005-05-15 - 2005-05-21,54
2005-05-22 - 2005-05-28,52
2005-05-29 - 2005-06-04,58
