Web Search interest: mac
Worldwide 2004 - present

Interest over time
Week,mac
2004-01-04 - 2004-01-10,71
2004-01-11 - 2004-01-17,68
2004-01-18 - 2004-01-24,68
2004-01-25 - 2004-01-31,67
2004-02-01 - 2004-02-07,65
2004-02-08 - 2004-02-14,64
2004-02-15 - 2004-02-21,66
2004-02-22 - 2004-02-28,64
2004-02-29 - 2004-03-06,65
2004-03-07 - 2004-03-13,64
2004-03-14 - 2004-03-20,62
2004-03-21 - 2004-03-27,63
2004-03-28 - 2004-04-03,61
2004-04-04 - 2004-04-10,62
2004-04-11 - 2004-04-17,61
2004-04-18 - 2004-04-24,61
2004-04-25 - 2004-05-01,58
2004-05-02 - 2004-05-08,61
2004-05-09 - 2004-05-15,60
2004-05-16 - 2004-05-22,61
2004-05-23 - 2004-05-29,59
2004-05-30 - 2004-06-05,60
2004-06-06 - 2004-06-12,60
2004-06-13 - 2004-06-19,60
2004-06-20 - 2004-06-26,60
2004-06-27 - 2004-07-03,62
2004-07-04 - 2004-07-10,61
2004-07-11 - 2004-07-17,62
2004-07-18 - 2004-07-24,61
2004-07-25 - 2004-07-31,61
2004-08-01 - 2004-08-07,61
2004-08-08 - 2004-08-14,60
2004-08-15 - 2004-08-21,61
2004-08-22 - 2004-08-28,61
2004-08-29 - 2004-09-04,63
2004-09-05 - 2004-09-11,62
2004-09-12 - 2004-09-18,62
2004-09-19 - 2004-09-25,62
2004-09-26 - 2004-10-02,62
2004-10-03 - 2004-10-09,61
2004-10-10 - 2004-10-16,62
2004-10-17 - 2004-10-23,62
2004-10-24 - 2004-10-30,61
2004-10-31 - 2004-11-06,62
2004-11-07 - 2004-11-13,63
2004-11-14 - 2004-11-20,61
2004-11-21 - 2004-11-27,62
2004-11-28 - 2004-12-04,62
2004-12-05 - 2004-12-11,62
2004-12-12 - 2004-12-18,63
2004-12-19 - 2004-12-25,64
2004-12-26 - 2005-01-01,68
2005-01-02 - 2005-01-08,65
2005-01-09 - 2005-01-15,84
2005-01-16 - 2005-01-22,74
2005-01-23 - 2005-01-29,73
2005-01-30 - 2005-02-05,73
2005-02-06 - 2005-02-12,71
2005-02-13 - 2005-02-19,69
2005-02-20 - 2005-02-26,67
2005-02-27 - 2005-03-05,64
2005-03-06 - 2005-03-12,66
2005-03-13 - 2005-03-19,64
2005-03-20 - 2005-03-26,62
2005-03-27 - 2005-04-02,61
2005-04-03 - 2005-04-09,62
2005-04-10 - 2005-04-16,59
2005-04-17 - 2005-04-23,60
