Web Search interest: low
Worldwide 2004 - present

Interest over time
Week,low
2004-01-04 - 2004-01-10,100
2004-01-11 - 2004-01-17,100
2004-01-18 - 2004-01-24,98
2004-01-25 - 2004-01-31,97
2004-02-01 - 2004-02-07,93
2004-02-08 - 2004-02-14,89
2004-02-15 - 2004-02-21,91
2004-02-22 - 2004-02-28,88
2004-02-29 - 2004-03-06,92
2004-03-07 - 2004-03-13,90
2004-03-14 - 2004-03-20,89
2004-03-21 - 2004-03-27,87
2004-03-28 - 2004-04-03,86
2004-04-04 - 2004-04-10,91
2004-04-11 - 2004-04-17,88
2004-04-18 - 2004-04-24,90
2004-04-25 - 2004-05-01,91
2004-05-02 - 2004-05-08,89
2004-05-09 - 2004-05-15,90
2004-05-16 - 2004-05-22,94
2004-05-23 - 2004-05-29,88
2004-05-30 - 2004-06-05,86
2004-06-06 - 2004-06-12,87
2004-06-13 - 2004-06-19,89
2004-06-20 - 2004-06-26,89
2004-06-27 - 2004-07-03,90
2004-07-04 - 2004-07-10,87
2004-07-11 - 2004-07-17,89
2004-07-18 - 2004-07-24,89
2004-07-25 - 2004-07-31,89
2004-08-01 - 2004-08-07,89
2004-08-08 - 2004-08-14,85
2004-08-15 - 2004-08-21,81
2004-08-22 - 2004-08-28,85
2004-08-29 - 2004-09-04,82
2004-09-05 - 2004-09-11,79
2004-09-12 - 2004-09-18,81
2004-09-19 - 2004-09-25,81
2004-09-26 - 2004-10-02,81
2004-10-03 - 2004-10-09,78
2004-10-10 - 2004-10-16,77
2004-10-17 - 2004-10-23,78
2004-10-24 - 2004-10-30,76
2004-10-31 - 2004-11-06,76
2004-11-07 - 2004-11-13,77
2004-11-14 - 2004-11-20,80
2004-11-21 - 2004-11-27,73
2004-11-28 - 2004-12-04,77
2004-12-05 - 2004-12-11,75
2004-12-12 - 2004-12-18,71
2004-12-19 - 2004-12-25,63
2004-12-26 - 2005-01-01,74
2005-01-02 - 2005-01-08,84
2005-01-09 - 2005-01-15,84
2005-01-16 - 2005-01-22,83
2005-01-23 - 2005-01-29,82
2005-01-30 - 2005-02-05,81
2005-02-06 - 2005-02-12,83
2005-02-13 - 2005-02-19,79
2005-02-20 - 2005-02-26,82
2005-02-27 - 2005-03-05,77
2005-03-06 - 2005-03-12,80
2005-03-13 - 2005-03-19,77
2005-03-20 - 2005-03-26,78
2005-03-27 - 2005-04-02,78
2005-04-03 - 2005-04-09,76
2005-04-10 - 2005-04-16,78
2005-04-17 - 2005-04-23,78
2005-04-24 - 2005-04-30,76
2005-05-01 - 2005-05-07,80
2005-05-08 - 2005-05-14,76
2005-05-15 - 2005-05-21,76
2005-05-22 - 2005-05-28,76
2005-05-29 - 2005-06-04,72
2005-06-05 - 2005-06-11,76
2005-06-12 - 2005-06-18,76
2005-06-19 - 2005-06-25,77
2005-06-26 - 2005-07-02,75
2005-07-03 - 2005-07-09,73
2005-07-10 - 2005-07-16,77
2005-07-17 - 2005-07-23,78
2005-07-24 - 2005-07-30,78
2005-07-31 - 2005-08-06,77
2005-08-07 - 2005-08-13,75
