Web Search interest: eix
Worldwide 2004 - present

Interest over time
Week,eix
2004-01-04 - 2004-01-10,60
2004-01-11 - 2004-01-17,60
2004-01-18 - 2004-01-24,69
2004-01-25 - 2004-01-31,78
2004-02-01 - 2004-02-07,35
2004-02-08 - 2004-02-14,77
2004-02-15 - 2004-02-21,83
2004-02-22 - 2004-02-28,74
2004-02-29 - 2004-03-06,59
2004-03-07 - 2004-03-13,26
2004-03-14 - 2004-03-20,38
2004-03-21 - 2004-03-27,54
2004-03-28 - 2004-04-03,65
2004-04-04 - 2004-04-10,74
2004-04-11 - 2004-04-17,84
2004-04-18 - 2004-04-24,36
2004-04-25 - 2004-05-01,33
2004-05-02 - 2004-05-08,43
2004-05-09 - 2004-05-15,73
2004-05-16 - 2004-05-22,39
2004-05-23 - 2004-05-29,58
2004-05-30 - 2004-06-05,50
2004-06-06 - 2004-06-12,58
2004-06-13 - 2004-06-19,78
2004-06-20 - 2004-06-26,46
2004-06-27 - 2004-07-03,50
2004-07-04 - 2004-07-10,60
2004-07-11 - 2004-07-17,59
2004-07-18 - 2004-07-24,50
2004-07-25 - 2004-07-31,74
2004-08-01 - 2004-08-07,54
2004-08-08 - 2004-08-14,67
2004-08-15 - 2004-08-21,65
2004-08-22 - 2004-08-28,56
2004-08-29 - 2004-09-04,58
2004-09-05 - 2004-09-11,64
2004-09-12 - 2004-09-18,54
2004-09-19 - 2004-09-25,60
2004-09-26 - 2004-10-02,39
2004-10-03 - 2004-10-09,73
2004-10-10 - 2004-10-16,85
2004-10-17 - 2004-10-23,46
2004-10-24 - 2004-10-30,73
2004-10-31 - 2004-11-06,82
2004-11-07 - 2004-11-13,47
2004-11-14 - 2004-11-20,52
2004-11-21 - 2004-11-27,71
2004-11-28 - 2004-12-04,61
2004-12-05 - 2004-12-11,57
2004-12-12 - 2004-12-18,45
2004-12-19 - 2004-12-25,37
2004-12-26 - 2005-01-01,62
2005-01-02 - 2005-01-08,67
2005-01-09 - 2005-01-15,65
2005-01-16 - 2005-01-22,51
2005-01-23 - 2005-01-29,61
2005-01-30 - 2005-02-05,52
2005-02-06 - 2005-02-12,76
2005-02-13 - 2005-02-19,41
2005-02-20 - 2005-02-26,54
2005-02-27 - 2005-03-05,80
2005-03-06 - 2005-03-12,90
2005-03-13 - 2005-03-19,54
2005-03-20 - 2005-03-26,88
2005-03-27 - 2005-04-02,57
2005-04-03 - 2005-04-09,59
2005-04-10 - 2005-04-16,48
2005-04-17 - 2005-04-23,74
2005-04-24 - 2005-04-30,60
2005-05-01 - 2005-05-07,58
2005-05-08 - 2005-05-14,84
2005-05-15 - 2005-05-21,63
2005-05-22 - 2005-05-28,61
2005-05-29 - 2005-06-04,67
2005-06-05 - 2005-06-11,40
2005-06-12 - 2005-06-18,47
2005-06-19 - 2005-06-25,48
2005-06-26 - 2005-07-02,86
2005-07-03 - 2005-07-09,66
2005-07-10 - 2005-07-16,83
2005-07-17 - 2005-07-23,82
2005-07-24 - 2005-07-30,77
2005-07-31 - 2005-08-06,69
2005-08-07 - 2005-08-13,51
2005-08-14 - 2005-08-20,62
2005-08-21 - 2005-08-27,55
2005-08-28 - 2005-09-03,65
2005-09-04 - 2005-09-10,61
2005-09-11 - 2005-09-17,70
2005-09-18 - 2005-09-24,59
2005-09-25 - 2005-10-01,75
2005-10-02 - 2005-10-08,66
2005-10-09 - 2005-10-15,83
2005-10-16 - 2005-10-22,77
2005-10-23 - 2005-10-29,80
2005-10-30 - 2005-11-05,68
2005-11-06 - 2005-11-12,77
2005-11-13 - 2005-11-19,62
2005-11-20 - 2005-11-26,91
2005-11-27 - 2005-12-03,67
2005-12-04 - 2005-12-10,56
2005-12-11 - 2005-12-17,75
2005-12-18 - 2005-12-24,50
2005-12-25 - 2005-12-31,65
2006-01-01 - 2006-01-07,59
2006-01-08 - 2006-01-14,55
2006-01-15 - 2006-01-21,47
2006-01-22 - 2006-01-28,79
2006-01-29 - 2006-02-04,78
2006-02-05 - 2006-02-11,66
2006-02-12 - 2006-02-18,64
2006-02-19 - 2006-02-25,74
2006-02-26 - 2006-03-04,66
2006-03-05 - 2006-03-11,61
2006-03-12 - 2006-03-18,63
2006-03-19 - 2006-03-25,47
2006-03-26 - 2006-04-01,80
2006-04-02 - 2006-04-08,59
2006-04-09 - 2006-04-15,75
2006-04-16 - 2006-04-22,68
2006-04-23 - 2006-04-29,66
2006-04-30 - 2006-05-06,59
2006-05-07 - 2006-05-13,49
2006-05-14 - 2006-05-20,77
2006-05-21 - 2006-05-27,97
2006-05-28 - 2006-06-03,67
2006-06-04 - 2006-06-10,48
2006-06-11 - 2006-06-17,70
2006-06-18 - 2006-06-24,60
2006-06-25 - 2006-07-01,88
2006-07-02 - 2006-07-08,100
2006-07-09 - 2006-07-15,69
2006-07-16 - 2006-07-22,91
2006-07-23 - 2006-07-29,80
2006-07-30 - 2006-08-05,70
2006-08-06 - 2006-08-12,67
2006-08-13 - 2006-08-19,80
2006-08-20 - 2006-08-26,72
2006-08-27 - 2006-09-02,73
2006-09-03 - 2006-09-09,73
2006-09-10 - 2006-09-16,79
2006-09-17 - 2006-09-23,77
2006-09-24 - 2006-09-30,57
2006-10-01 - 2006-10-07,73
2006-10-08 - 2006-10-14,67
2006-10-15 - 2006-10-21,51
2006-10-22 - 2006-10-28,63
2006-10-29 - 2006-11-04,92
2006-11-05 - 2006-11-11,62
2006-11-12 - 2006-11-18,74
2006-11-19 - 2006-11-25,56
