Web Search interest: lll
Worldwide 2004 - present

Interest over time
Week,lll
2004-01-04 - 2004-01-10,59
2004-01-11 - 2004-01-17,66
2004-01-18 - 2004-01-24,55
2004-01-25 - 2004-01-31,72
2004-02-01 - 2004-02-07,67
2004-02-08 - 2004-02-14,51
2004-02-15 - 2004-02-21,57
2004-02-22 - 2004-02-28,70
2004-02-29 - 2004-03-06,66
2004-03-07 - 2004-03-13,68
2004-03-14 - 2004-03-20,67
2004-03-21 - 2004-03-27,52
2004-03-28 - 2004-04-03,58
2004-04-04 - 2004-04-10,66
2004-04-11 - 2004-04-17,58
2004-04-18 - 2004-04-24,64
2004-04-25 - 2004-05-01,70
2004-05-02 - 2004-05-08,54
2004-05-09 - 2004-05-15,61
2004-05-16 - 2004-05-22,52
2004-05-23 - 2004-05-29,71
2004-05-30 - 2004-06-05,57
2004-06-06 - 2004-06-12,56
2004-06-13 - 2004-06-19,54
2004-06-20 - 2004-06-26,59
2004-06-27 - 2004-07-03,58
2004-07-04 - 2004-07-10,57
2004-07-11 - 2004-07-17,48
2004-07-18 - 2004-07-24,60
2004-07-25 - 2004-07-31,58
2004-08-01 - 2004-08-07,62
2004-08-08 - 2004-08-14,57
2004-08-15 - 2004-08-21,60
2004-08-22 - 2004-08-28,58
2004-08-29 - 2004-09-04,56
2004-09-05 - 2004-09-11,55
2004-09-12 - 2004-09-18,43
2004-09-19 - 2004-09-25,62
2004-09-26 - 2004-10-02,47
2004-10-03 - 2004-10-09,51
2004-10-10 - 2004-10-16,60
2004-10-17 - 2004-10-23,60
2004-10-24 - 2004-10-30,64
2004-10-31 - 2004-11-06,62
2004-11-07 - 2004-11-13,69
2004-11-14 - 2004-11-20,62
2004-11-21 - 2004-11-27,58
2004-11-28 - 2004-12-04,60
2004-12-05 - 2004-12-11,52
2004-12-12 - 2004-12-18,66
2004-12-19 - 2004-12-25,61
2004-12-26 - 2005-01-01,58
2005-01-02 - 2005-01-08,54
2005-01-09 - 2005-01-15,65
2005-01-16 - 2005-01-22,69
2005-01-23 - 2005-01-29,74
2005-01-30 - 2005-02-05,65
2005-02-06 - 2005-02-12,71
2005-02-13 - 2005-02-19,61
2005-02-20 - 2005-02-26,64
2005-02-27 - 2005-03-05,65
2005-03-06 - 2005-03-12,72
2005-03-13 - 2005-03-19,75
2005-03-20 - 2005-03-26,74
2005-03-27 - 2005-04-02,68
2005-04-03 - 2005-04-09,58
2005-04-10 - 2005-04-16,67
2005-04-17 - 2005-04-23,69
2005-04-24 - 2005-04-30,70
2005-05-01 - 2005-05-07,84
2005-05-08 - 2005-05-14,85
2005-05-15 - 2005-05-21,100
2005-05-22 - 2005-05-28,88
2005-05-29 - 2005-06-04,82
2005-06-05 - 2005-06-11,67
2005-06-12 - 2005-06-18,66
2005-06-19 - 2005-06-25,76
2005-06-26 - 2005-07-02,68
2005-07-03 - 2005-07-09,65
2005-07-10 - 2005-07-16,60
2005-07-17 - 2005-07-23,68
2005-07-24 - 2005-07-30,59
2005-07-31 - 2005-08-06,56
2005-08-07 - 2005-08-13,60
2005-08-14 - 2005-08-20,65
2005-08-21 - 2005-08-27,67
2005-08-28 - 2005-09-03,58
2005-09-04 - 2005-09-10,54
2005-09-11 - 2005-09-17,62
2005-09-18 - 2005-09-24,60
2005-09-25 - 2005-10-01,69
2005-10-02 - 2005-10-08,66
2005-10-09 - 2005-10-15,60
2005-10-16 - 2005-10-22,62
2005-10-23 - 2005-10-29,59
2005-10-30 - 2005-11-05,70
2005-11-06 - 2005-11-12,69
2005-11-13 - 2005-11-19,62
2005-11-20 - 2005-11-26,63
2005-11-27 - 2005-12-03,63
2005-12-04 - 2005-12-10,66
2005-12-11 - 2005-12-17,67
2005-12-18 - 2005-12-24,64
2005-12-25 - 2005-12-31,62
2006-01-01 - 2006-01-07,61
2006-01-08 - 2006-01-14,61
2006-01-15 - 2006-01-21,62
2006-01-22 - 2006-01-28,63
2006-01-29 - 2006-02-04,64
2006-02-05 - 2006-02-11,63
2006-02-12 - 2006-02-18,60
2006-02-19 - 2006-02-25,73
2006-02-26 - 2006-03-04,58
2006-03-05 - 2006-03-11,61
2006-03-12 - 2006-03-18,60
2006-03-19 - 2006-03-25,66
2006-03-26 - 2006-04-01,62
2006-04-02 - 2006-04-08,61
2006-04-09 - 2006-04-15,68
2006-04-16 - 2006-04-22,58
2006-04-23 - 2006-04-29,62
2006-04-30 - 2006-05-06,63
2006-05-07 - 2006-05-13,62
2006-05-14 - 2006-05-20,61
2006-05-21 - 2006-05-27,68
2006-05-28 - 2006-06-03,65
2006-06-04 - 2006-06-10,66
2006-06-11 - 2006-06-17,61
2006-06-18 - 2006-06-24,64
2006-06-25 - 2006-07-01,55
2006-07-02 - 2006-07-08,58
