Web Search interest: ppl
Worldwide 2004 - present

Interest over time
Week,ppl
2004-01-04 - 2004-01-10,28
2004-01-11 - 2004-01-17,26
2004-01-18 - 2004-01-24,28
2004-01-25 - 2004-01-31,29
2004-02-01 - 2004-02-07,25
2004-02-08 - 2004-02-14,26
2004-02-15 - 2004-02-21,27
2004-02-22 - 2004-02-28,27
2004-02-29 - 2004-03-06,24
2004-03-07 - 2004-03-13,23
2004-03-14 - 2004-03-20,26
2004-03-21 - 2004-03-27,27
2004-03-28 - 2004-04-03,28
2004-04-04 - 2004-04-10,29
2004-04-11 - 2004-04-17,32
2004-04-18 - 2004-04-24,28
2004-04-25 - 2004-05-01,27
2004-05-02 - 2004-05-08,32
2004-05-09 - 2004-05-15,26
2004-05-16 - 2004-05-22,29
2004-05-23 - 2004-05-29,29
2004-05-30 - 2004-06-05,27
2004-06-06 - 2004-06-12,26
2004-06-13 - 2004-06-19,28
2004-06-20 - 2004-06-26,28
2004-06-27 - 2004-07-03,29
2004-07-04 - 2004-07-10,29
2004-07-11 - 2004-07-17,29
2004-07-18 - 2004-07-24,30
2004-07-25 - 2004-07-31,34
2004-08-01 - 2004-08-07,51
2004-08-08 - 2004-08-14,40
2004-08-15 - 2004-08-21,30
2004-08-22 - 2004-08-28,30
2004-08-29 - 2004-09-04,27
2004-09-05 - 2004-09-11,28
2004-09-12 - 2004-09-18,24
2004-09-19 - 2004-09-25,27
2004-09-26 - 2004-10-02,29
2004-10-03 - 2004-10-09,26
2004-10-10 - 2004-10-16,26
2004-10-17 - 2004-10-23,27
2004-10-24 - 2004-10-30,27
2004-10-31 - 2004-11-06,24
2004-11-07 - 2004-11-13,25
2004-11-14 - 2004-11-20,28
2004-11-21 - 2004-11-27,29
2004-11-28 - 2004-12-04,27
2004-12-05 - 2004-12-11,25
2004-12-12 - 2004-12-18,25
2004-12-19 - 2004-12-25,23
2004-12-26 - 2005-01-01,21
2005-01-02 - 2005-01-08,27
2005-01-09 - 2005-01-15,29
2005-01-16 - 2005-01-22,28
2005-01-23 - 2005-01-29,26
2005-01-30 - 2005-02-05,30
2005-02-06 - 2005-02-12,27
2005-02-13 - 2005-02-19,26
2005-02-20 - 2005-02-26,28
2005-02-27 - 2005-03-05,25
2005-03-06 - 2005-03-12,26
2005-03-13 - 2005-03-19,28
2005-03-20 - 2005-03-26,27
2005-03-27 - 2005-04-02,26
2005-04-03 - 2005-04-09,28
2005-04-10 - 2005-04-16,33
2005-04-17 - 2005-04-23,25
2005-04-24 - 2005-04-30,24
2005-05-01 - 2005-05-07,28
2005-05-08 - 2005-05-14,29
2005-05-15 - 2005-05-21,28
2005-05-22 - 2005-05-28,29
2005-05-29 - 2005-06-04,28
2005-06-05 - 2005-06-11,28
2005-06-12 - 2005-06-18,30
2005-06-19 - 2005-06-25,32
2005-06-26 - 2005-07-02,33
2005-07-03 - 2005-07-09,31
2005-07-10 - 2005-07-16,31
2005-07-17 - 2005-07-23,30
2005-07-24 - 2005-07-30,29
2005-07-31 - 2005-08-06,29
2005-08-07 - 2005-08-13,32
2005-08-14 - 2005-08-20,35
2005-08-21 - 2005-08-27,32
2005-08-28 - 2005-09-03,29
2005-09-04 - 2005-09-10,30
2005-09-11 - 2005-09-17,32
2005-09-18 - 2005-09-24,28
2005-09-25 - 2005-10-01,31
2005-10-02 - 2005-10-08,31
2005-10-09 - 2005-10-15,32
2005-10-16 - 2005-10-22,30
2005-10-23 - 2005-10-29,26
2005-10-30 - 2005-11-05,33
2005-11-06 - 2005-11-12,31
2005-11-13 - 2005-11-19,30
2005-11-20 - 2005-11-26,27
2005-11-27 - 2005-12-03,29
2005-12-04 - 2005-12-10,29
2005-12-11 - 2005-12-17,29
2005-12-18 - 2005-12-24,27
2005-12-25 - 2005-12-31,27
2006-01-01 - 2006-01-07,30
2006-01-08 - 2006-01-14,29
2006-01-15 - 2006-01-21,29
2006-01-22 - 2006-01-28,30
2006-01-29 - 2006-02-04,29
2006-02-05 - 2006-02-11,29
2006-02-12 - 2006-02-18,29
2006-02-19 - 2006-02-25,28
2006-02-26 - 2006-03-04,28
2006-03-05 - 2006-03-11,29
2006-03-12 - 2006-03-18,28
2006-03-19 - 2006-03-25,31
2006-03-26 - 2006-04-01,30
2006-04-02 - 2006-04-08,30
2006-04-09 - 2006-04-15,29
2006-04-16 - 2006-04-22,31
2006-04-23 - 2006-04-29,29
2006-04-30 - 2006-05-06,30
2006-05-07 - 2006-05-13,27
2006-05-14 - 2006-05-20,28
2006-05-21 - 2006-05-27,30
2006-05-28 - 2006-06-03,31
2006-06-04 - 2006-06-10,32
2006-06-11 - 2006-06-17,30
2006-06-18 - 2006-06-24,34
2006-06-25 - 2006-07-01,28
2006-07-02 - 2006-07-08,32
2006-07-09 - 2006-07-15,30
2006-07-16 - 2006-07-22,28
2006-07-23 - 2006-07-29,35
2006-07-30 - 2006-08-05,32
2006-08-06 - 2006-08-12,35
2006-08-13 - 2006-08-19,35
2006-08-20 - 2006-08-26,35
2006-08-27 - 2006-09-02,30
2006-09-03 - 2006-09-09,35
2006-09-10 - 2006-09-16,32
2006-09-17 - 2006-09-23,30
2006-09-24 - 2006-09-30,30
2006-10-01 - 2006-10-07,29
2006-10-08 - 2006-10-14,33
2006-10-15 - 2006-10-21,28
2006-10-22 - 2006-10-28,30
2006-10-29 - 2006-11-04,31
2006-11-05 - 2006-11-11,32
2006-11-12 - 2006-11-18,31
2006-11-19 - 2006-11-25,30
2006-11-26 - 2006-12-02,30
2006-12-03 - 2006-12-09,31
2006-12-10 - 2006-12-16,29
2006-12-17 - 2006-12-23,29
2006-12-24 - 2006-12-30,29
2006-12-31 - 2007-01-06,31
2007-01-07 - 2007-01-13,29
2007-01-14 - 2007-01-20,30
2007-01-21 - 2007-01-27,33
2007-01-28 - 2007-02-03,29
2007-02-04 - 2007-02-10,31
2007-02-11 - 2007-02-17,32
2007-02-18 - 2007-02-24,31
2007-02-25 - 2007-03-03,33
2007-03-04 - 2007-03-10,31
2007-03-11 - 2007-03-17,31
2007-03-18 - 2007-03-24,32
2007-03-25 - 2007-03-31,30
2007-04-01 - 2007-04-07,32
2007-04-08 - 2007-04-14,33
2007-04-15 - 2007-04-21,33
2007-04-22 - 2007-04-28,31
2007-04-29 - 2007-05-05,34
2007-05-06 - 2007-05-12,33
2007-05-13 - 2007-05-19,31
2007-05-20 - 2007-05-26,31
2007-05-27 - 2007-06-02,31
2007-06-03 - 2007-06-09,32
2007-06-10 - 2007-06-16,32
2007-06-17 - 2007-06-23,34
2007-06-24 - 2007-06-30,30
2007-07-01 - 2007-07-07,32
2007-07-08 - 2007-07-14,34
2007-07-15 - 2007-07-21,37
2007-07-22 - 2007-07-28,34
2007-07-29 - 2007-08-04,33
2007-08-05 - 2007-08-11,36
2007-08-12 - 2007-08-18,34
2007-08-19 - 2007-08-25,35
2007-08-26 - 2007-09-01,33
2007-09-02 - 2007-09-08,33
2007-09-09 - 2007-09-15,34
2007-09-16 - 2007-09-22,31
2007-09-23 - 2007-09-29,33
2007-09-30 - 2007-10-06,31
2007-10-07 - 2007-10-13,31
2007-10-14 - 2007-10-20,34
2007-10-21 - 2007-10-27,34
2007-10-28 - 2007-11-03,33
2007-11-04 - 2007-11-10,32
2007-11-11 - 2007-11-17,33
2007-11-18 - 2007-11-24,32
2007-11-25 - 2007-12-01,33
2007-12-02 - 2007-12-08,33
2007-12-09 - 2007-12-15,30
2007-12-16 - 2007-12-22,34
2007-12-23 - 2007-12-29,27
2007-12-30 - 2008-01-05,32
2008-01-06 - 2008-01-12,35
2008-01-13 - 2008-01-19,32
2008-01-20 - 2008-01-26,32
2008-01-27 - 2008-02-02,33
2008-02-03 - 2008-02-09,34
2008-02-10 - 2008-02-16,33
2008-02-17 - 2008-02-23,32
2008-02-24 - 2008-03-01,34
2008-03-02 - 2008-03-08,34
2008-03-09 - 2008-03-15,32
2008-03-16 - 2008-03-22,34
2008-03-23 - 2008-03-29,34
2008-03-30 - 2008-04-05,35
2008-04-06 - 2008-04-12,32
2008-04-13 - 2008-04-19,32
2008-04-20 - 2008-04-26,33
2008-04-27 - 2008-05-03,32
2008-05-04 - 2008-05-10,30
2008-05-11 - 2008-05-17,34
2008-05-18 - 2008-05-24,32
2008-05-25 - 2008-05-31,31
2008-06-01 - 2008-06-07,34
2008-06-08 - 2008-06-14,33
2008-06-15 - 2008-06-21,34
2008-06-22 - 2008-06-28,35
2008-06-29 - 2008-07-05,32
2008-07-06 - 2008-07-12,34
2008-07-13 - 2008-07-19,34
2008-07-20 - 2008-07-26,34
2008-07-27 - 2008-08-02,35
2008-08-03 - 2008-08-09,37
2008-08-10 - 2008-08-16,36
2008-08-17 - 2008-08-23,34
2008-08-24 - 2008-08-30,35
2008-08-31 - 2008-09-06,34
2008-09-07 - 2008-09-13,33
2008-09-14 - 2008-09-20,35
2008-09-21 - 2008-09-27,32
2008-09-28 - 2008-10-04,33
2008-10-05 - 2008-10-11,33
2008-10-12 - 2008-10-18,34
2008-10-19 - 2008-10-25,35
2008-10-26 - 2008-11-01,34
2008-11-02 - 2008-11-08,36
2008-11-09 - 2008-11-15,33
2008-11-16 - 2008-11-22,34
2008-11-23 - 2008-11-29,31
2008-11-30 - 2008-12-06,32
2008-12-07 - 2008-12-13,33
2008-12-14 - 2008-12-20,31
2008-12-21 - 2008-12-27,28
2008-12-28 - 2009-01-03,33
2009-01-04 - 2009-01-10,35
2009-01-11 - 2009-01-17,35
2009-01-18 - 2009-01-24,34
2009-01-25 - 2009-01-31,35
2009-02-01 - 2009-02-07,34
2009-02-08 - 2009-02-14,36
2009-02-15 - 2009-02-21,34
2009-02-22 - 2009-02-28,36
2009-03-01 - 2009-03-07,34
2009-03-08 - 2009-03-14,35
2009-03-15 - 2009-03-21,36
2009-03-22 - 2009-03-28,34
2009-03-29 - 2009-04-04,36
2009-04-05 - 2009-04-11,35
2009-04-12 - 2009-04-18,36
2009-04-19 - 2009-04-25,37
