Web Search interest: hcn
Worldwide 2004 - present

Interest over time
Week,hcn
2004-01-04 - 2004-01-10,28
2004-01-11 - 2004-01-17,42
2004-01-18 - 2004-01-24,20
2004-01-25 - 2004-01-31,47
2004-02-01 - 2004-02-07,61
2004-02-08 - 2004-02-14,31
2004-02-15 - 2004-02-21,39
2004-02-22 - 2004-02-28,44
2004-02-29 - 2004-03-06,42
2004-03-07 - 2004-03-13,49
2004-03-14 - 2004-03-20,44
2004-03-21 - 2004-03-27,76
2004-03-28 - 2004-04-03,55
2004-04-04 - 2004-04-10,49
2004-04-11 - 2004-04-17,45
2004-04-18 - 2004-04-24,43
2004-04-25 - 2004-05-01,33
2004-05-02 - 2004-05-08,43
2004-05-09 - 2004-05-15,35
2004-05-16 - 2004-05-22,30
2004-05-23 - 2004-05-29,37
2004-05-30 - 2004-06-05,30
2004-06-06 - 2004-06-12,34
2004-06-13 - 2004-06-19,39
2004-06-20 - 2004-06-26,36
2004-06-27 - 2004-07-03,33
2004-07-04 - 2004-07-10,32
2004-07-11 - 2004-07-17,24
2004-07-18 - 2004-07-24,44
2004-07-25 - 2004-07-31,37
2004-08-01 - 2004-08-07,35
2004-08-08 - 2004-08-14,25
2004-08-15 - 2004-08-21,31
2004-08-22 - 2004-08-28,34
2004-08-29 - 2004-09-04,45
2004-09-05 - 2004-09-11,30
2004-09-12 - 2004-09-18,30
2004-09-19 - 2004-09-25,28
2004-09-26 - 2004-10-02,27
2004-10-03 - 2004-10-09,44
2004-10-10 - 2004-10-16,42
2004-10-17 - 2004-10-23,61
2004-10-24 - 2004-10-30,41
2004-10-31 - 2004-11-06,46
2004-11-07 - 2004-11-13,45
2004-11-14 - 2004-11-20,56
2004-11-21 - 2004-11-27,43
2004-11-28 - 2004-12-04,62
2004-12-05 - 2004-12-11,46
2004-12-12 - 2004-12-18,46
2004-12-19 - 2004-12-25,32
2004-12-26 - 2005-01-01,21
2005-01-02 - 2005-01-08,41
2005-01-09 - 2005-01-15,27
2005-01-16 - 2005-01-22,22
2005-01-23 - 2005-01-29,39
2005-01-30 - 2005-02-05,35
2005-02-06 - 2005-02-12,45
2005-02-13 - 2005-02-19,43
2005-02-20 - 2005-02-26,44
2005-02-27 - 2005-03-05,38
2005-03-06 - 2005-03-12,46
2005-03-13 - 2005-03-19,37
2005-03-20 - 2005-03-26,47
2005-03-27 - 2005-04-02,26
2005-04-03 - 2005-04-09,37
2005-04-10 - 2005-04-16,54
2005-04-17 - 2005-04-23,43
2005-04-24 - 2005-04-30,44
2005-05-01 - 2005-05-07,53
2005-05-08 - 2005-05-14,36
2005-05-15 - 2005-05-21,41
2005-05-22 - 2005-05-28,31
2005-05-29 - 2005-06-04,42
2005-06-05 - 2005-06-11,34
2005-06-12 - 2005-06-18,34
2005-06-19 - 2005-06-25,33
2005-06-26 - 2005-07-02,38
2005-07-03 - 2005-07-09,33
2005-07-10 - 2005-07-16,38
2005-07-17 - 2005-07-23,37
2005-07-24 - 2005-07-30,30
2005-07-31 - 2005-08-06,23
2005-08-07 - 2005-08-13,33
2005-08-14 - 2005-08-20,29
2005-08-21 - 2005-08-27,34
2005-08-28 - 2005-09-03,37
2005-09-04 - 2005-09-10,33
2005-09-11 - 2005-09-17,38
2005-09-18 - 2005-09-24,46
2005-09-25 - 2005-10-01,47
2005-10-02 - 2005-10-08,57
2005-10-09 - 2005-10-15,48
2005-10-16 - 2005-10-22,57
2005-10-23 - 2005-10-29,49
2005-10-30 - 2005-11-05,52
2005-11-06 - 2005-11-12,61
2005-11-13 - 2005-11-19,51
2005-11-20 - 2005-11-26,45
2005-11-27 - 2005-12-03,41
2005-12-04 - 2005-12-10,39
2005-12-11 - 2005-12-17,35
2005-12-18 - 2005-12-24,29
2005-12-25 - 2005-12-31,23
2006-01-01 - 2006-01-07,26
2006-01-08 - 2006-01-14,33
2006-01-15 - 2006-01-21,51
2006-01-22 - 2006-01-28,46
2006-01-29 - 2006-02-04,51
2006-02-05 - 2006-02-11,44
2006-02-12 - 2006-02-18,37
2006-02-19 - 2006-02-25,44
2006-02-26 - 2006-03-04,47
2006-03-05 - 2006-03-11,48
2006-03-12 - 2006-03-18,41
2006-03-19 - 2006-03-25,45
2006-03-26 - 2006-04-01,43
2006-04-02 - 2006-04-08,42
2006-04-09 - 2006-04-15,50
2006-04-16 - 2006-04-22,48
2006-04-23 - 2006-04-29,38
2006-04-30 - 2006-05-06,47
2006-05-07 - 2006-05-13,31
2006-05-14 - 2006-05-20,33
2006-05-21 - 2006-05-27,44
2006-05-28 - 2006-06-03,29
2006-06-04 - 2006-06-10,40
2006-06-11 - 2006-06-17,29
2006-06-18 - 2006-06-24,39
2006-06-25 - 2006-07-01,34
2006-07-02 - 2006-07-08,37
2006-07-09 - 2006-07-15,33
2006-07-16 - 2006-07-22,37
2006-07-23 - 2006-07-29,36
2006-07-30 - 2006-08-05,40
